Id,Name,Rating,Review Count,Price,Style,Neighborhood,Address,Phone Number,Link
22,Brix &amp; Mortar,4.0,167,$$$,Wine Bars#Canadian (New)#Tapas Bars,"Downtown, Yaletown","1138 Homer Street#Vancouver, BC V6B 2X6#Canada",(604) 915-9463,/biz/brix-and-mortar-vancouver?osq=Restaurants
23,The Poke Guy,4.5,87,$$,Hawaiian#Seafood,Downtown,"420 Richards Street#Vancouver, BC V6B 2Z4#Canada",(778) 379-8455,/biz/the-poke-guy-vancouver?osq=Restaurants
24,Botanist,4.0,20,$$$,Canadian (New)#Diners#Breakfast & Brunch,"Coal Harbour, Downtown","1038 Canada Place#Vancouver, BC V6C 0B9#Canada",(604) 695-5500,/biz/botanist-vancouver-2?osq=Restaurants
25,The Mackenzie Room,4.5,72,$$$,Canadian (New),Downtown Eastside,"415 Powell Street#Vancouver, BC V6A 1G7#Canada",(604) 253-0705,/biz/the-mackenzie-room-vancouver?osq=Restaurants
26,La Catrina Tacos,4.5,51,$,Mexican,West End,"1187 Denman Street#Vancouver, BC V6G 2N1#Canada",(604) 566-9503,/biz/la-catrina-tacos-vancouver?osq=Restaurants
27,Thai Basil,4.0,8,$,Thai,"Grandview-Woodlands, The Drive","1179 Commercial Drive#Vancouver, BC V5L 3X3#Canada",,/biz/thai-basil-vancouver-4?osq=Restaurants
28,Jiu Jiang Japanese Restaurant,3.5,4,Null,Japanese#Salad#Hot Pot,"Kerrisdale, Arbutus Ridge","5707 Balsam Street#Vancouver, BC V6M 4B8#Canada",(778) 379-8858,/biz/jiu-jiang-japanese-restaurant-vancouver-2?osq=Restaurants
29,Kazoku Sapporo Eatery,4.0,11,$,Japanese#Desserts#Comfort Food,Downtown,"2011-88 West Pender Street#Vancouver, BC V6B 6N8#Canada",(604) 428-8362,/biz/kazoku-sapporo-eatery-vancouver?osq=Restaurants
30,Dinesty Dumpling House,4.0,320,$$,Chinese,West End,"1719 Robson Street#Vancouver, BC V6G 1C8#Canada",(604) 669-7769,/biz/dinesty-dumpling-house-vancouver?osq=Restaurants
31,Chi Modern Vietnamese Kitchen,4.0,52,$$,Vietnamese#Asian Fusion,Kitsilano,"1935 W 4th Avenue#Vancouver, BC V6J 1M7#Canada",(604) 336-3010,/biz/chi-modern-vietnamese-kitchen-vancouver?osq=Restaurants
32,La Brass,4.5,8,$$,French#Wine Bars#Tapas/Small Plates,Point Grey,"4473 W 10th Avenue#Vancouver, BC V6R 2H9#Canada",(604) 222-1980,/biz/la-brass-vancouver?osq=Restaurants
33,Beanstalk Bistro,4.0,2,Null,American (Traditional),Granville Island/False Creek,"1496 Cartwright Street#Vancouver, BC V6H 3Y5#Canada",(604) 484-8288,/biz/beanstalk-bistro-vancouver?osq=Restaurants
34,Kurumucho Japanese Taco Shop,4.0,10,$$,Tex-Mex#Japanese#Asian Fusion,Downtown,"985 Hornby Street#Vancouver, BC V6Z 3G5#Canada",(604) 428-3239,/biz/kurumucho-japanese-taco-shop-vancouver-2?osq=Restaurants
35,5 Spice Vietnamese Cuisine,5.0,5,Null,Vietnamese,"Fairview Slopes, South Granville","1513 West Broadway#Vancouver, BC V6J 1W6#Canada",(604) 620-8115,/biz/5-spice-vietnamese-cuisine-vancouver?osq=Restaurants
36,Ash Street Bistro,4.5,5,$$,Canadian (New),"Oakridge, South Cambie","611 W 41st Avenue#Vancouver, BC V5Z#Canada",(604) 240-8550,/biz/ash-street-bistro-vancouver-3?osq=Restaurants
37,Raviolino,4.5,53,$,Italian#Sandwiches,Kitsilano,"2822 W 4th Avenue#Vancouver, BC V6K 1R2#Canada",(604) 736-0772,/biz/raviolino-vancouver-2?osq=Restaurants
38,Ask For Luigi,4.0,272,$$,Italian,Downtown Eastside,"305 Alexander Street#Vancouver, BC V6A 1C4#Canada",(604) 428-2544,/biz/ask-for-luigi-vancouver?osq=Restaurants
39,JINYA Ramen Bar,3.0,42,$$,Ramen,Downtown,"541 Robson Street#Vancouver, BC V6B 2B7#Canada",(604) 699-9377,/biz/jinya-ramen-bar-vancouver-3?osq=Restaurants
40,Plaisir Sucré,4.5,49,$,Bakeries#Desserts#French,Kitsilano,"2668 Arbutus Street#Vancouver, BC V6J 5L8#Canada",(604) 736-0515,/biz/plaisir-sucr%C3%A9-vancouver-3?osq=Restaurants
41,Hokkaido Ramen Santouka,4.0,737,$$,Ramen#Noodles,West End,"1690 Robson Street#Vancouver, BC V6G 1C7#Canada",(604) 681-8121,/biz/hokkaido-ramen-santouka-vancouver?osq=Restaurants
42,Kuma Izakaya,4.0,31,$$,Sushi Bars#Japanese#Asian Fusion,"Downtown, Yaletown","1233 Hamilton Street#Vancouver, BC V6B 6K3#Canada",(778) 379-1177,/biz/kuma-izakaya-vancouver?osq=Restaurants
43,Fayuca,4.5,12,$$,Mexican,"Downtown, Yaletown","1009 Hamilton Street#Vancouver, BC V6B 5T4#Canada",(604) 689-8523,/biz/fayuca-vancouver-2?osq=Restaurants
44,Guu Original Thurlow,4.0,624,$$,Japanese#Tapas Bars,"West End, Downtown","838 Thurlow Street#Vancouver, BC V6E 1W2#Canada",(604) 685-8817,/biz/guu-original-thurlow-vancouver?osq=Restaurants
45,Edible Canada At the Market,3.5,345,$$,Canadian (New)#Specialty Food#Grocery,Granville Island/False Creek,"1596 Johnston Street#Vancouver, BC V6H 3R9#Canada",(604) 682-6681,/biz/edible-canada-at-the-market-vancouver?osq=Restaurants
46,Bao Bei Chinese Brasserie,4.0,256,$$$,Chinese,Chinatown,"163 Keefer Street#Vancouver, BC V6A 1X3#Canada",(604) 688-0876,/biz/bao-bei-chinese-brasserie-vancouver?osq=Restaurants
47,Zefferelli’s,4.0,262,$$,Italian,West End,"1136 Robson Street#Vancouver, BC V6E 1B2#Canada",(604) 687-0655,/biz/zefferellis-vancouver?osq=Restaurants
48,Guoyan Cuisine Group,5.0,8,$$,Chinese,West End,"792 Denman Street#Vancouver, BC V6G 1C9#Canada",(604) 692-0148,/biz/guoyan-cuisine-group-vancouver-4?osq=Restaurants
49,Pacific Poke,4.5,52,$$,Japanese#Hawaiian,"Chinatown, Strathcona","625 Main Street#Vancouver, BC V6A 2V4#Canada",(604) 559-5304,/biz/pacific-poke-vancouver?osq=Restaurants
50,Cactus Club Cafe,4.0,379,$$,Canadian (New)#Cocktail Bars,"Coal Harbour, Downtown","1085 Canada Place#Vancouver, BC V6C 0C3#Canada",(604) 620-7410,/biz/cactus-club-cafe-vancouver-8?osq=Restaurants
51,So Hyang Korean Cuisine,4.5,74,$$,Korean,Sunset,"6345 Fraser Street#Vancouver, BC V5W 3A3#Canada",(604) 729-0702,/biz/so-hyang-korean-cuisine-vancouver?osq=Restaurants
52,The Chili House,5.0,19,$,Chinese,Kitsilano,"2445 Burrard Street#Vancouver, BC V6J 3J3#Canada",(604) 564-8858,/biz/the-chili-house-vancouver-3?osq=Restaurants
53,Assembli,3.5,10,$$,Pizza#Salad,Fairview Slopes,"2325 Cambie Street#Vancouver, BC V5Z 2T9#Canada",(604) 873-1253,/biz/assembli-vancouver-2?osq=Restaurants
54,Fritz European Fry House,4.0,502,$,Fast Food#Poutineries#Modern European,"Downtown, Granville Entertainment District","718 Davie Street#Vancouver, BC V6Z 1B6#Canada",(604) 684-0811,/biz/fritz-european-fry-house-vancouver?osq=Restaurants
55,L’Abattoir,4.0,392,$$$,French#Canadian (New),"Downtown, Gastown","217 Carrall Street#Vancouver, BC V6B 2J1#Canada",(604) 568-1701,/biz/l-abattoir-vancouver?osq=Restaurants
56,Jam Cafe on Beatty,4.5,337,$$,Breakfast & Brunch,Downtown,"556 Beatty Street#Vancouver, BC V6B 2L3#Canada",(778) 379-1992,/biz/jam-cafe-on-beatty-vancouver?osq=Restaurants
57,Yook Korean Grilled BBQ &amp; Bistro,3.5,10,$$,Korean#Barbeque,"Hastings-Sunrise, Grandview-Woodlands","2408 Nanaimo Street#Vancouver, BC V5N 5E4#Canada",(604) 428-9292,/biz/yook-korean-grilled-bbq-and-bistro-vancouver?osq=Restaurants
58,The Bottleneck,4.0,54,$$,Pubs#Canadian (New),"Downtown, Granville Entertainment District","870 Granville Street#Vancouver, BC V6B 2C9#Canada",(604) 739-4540,/biz/the-bottleneck-vancouver?osq=Restaurants
59,Hokkaido Ramen Santouka,4.0,54,$$,Noodles#Ramen#Soup,Fairview Slopes,"558 W Broadway#Vancouver, BC V5Z 1E9#Canada",(604) 565-1770,/biz/hokkaido-ramen-santouka-vancouver-5?osq=Restaurants
60,Mogu - Japanese Street Eats,4.5,57,$,Japanese#Food Trucks#Burgers,Downtown,"610 Howe Street#Vancouver, BC V6Z 1N9#Canada",(604) 375-4822,/biz/mogu-japanese-street-eats-vancouver?osq=Restaurants
61,Black Rice Izakaya,4.0,113,$$,Japanese#Sushi Bars#Tapas Bars,Downtown,"782 Cambie Street#Vancouver, BC V6B 2R5#Canada",(778) 379-0416,/biz/black-rice-izakaya-vancouver?osq=Restaurants
62,Railtown Cafe,3.5,10,$$,Breakfast & Brunch#Sandwiches#Tex-Mex,"Mount Pleasant, Strathcona","1691 Main Street#Vancouver, BC V6A 2W5#Canada",(604) 336-2251,/biz/railtown-cafe-vancouver-5?osq=Restaurants
63,Kissa Tanto,4.0,86,$$$,Japanese#Italian,"Chinatown, Downtown Eastside","263 E Pender Street#Vancouver, BC V6A 1T8#Canada",(778) 379-8078,/biz/kissa-tanto-vancouver?osq=Restaurants
64,The Locus,4.0,178,$$,Lounges#Canadian (New),Riley Park,"4121 Main Street#Vancouver, BC V5V 3P6#Canada",(604) 708-4121,/biz/the-locus-vancouver?osq=Restaurants
65,Village,4.0,46,$$,Canadian (New)#Bars,West End,"1143 Davie Street#Vancouver, BC V6E 1N2#Canada",(604) 999-9191,/biz/village-vancouver-2?osq=Restaurants
66,Sen Pad Thai,4.5,10,$$,Thai#Noodles,Granville Island/False Creek,"1666 Johnston Street#Vancouver, BC V6H 3R5#Canada",(604) 428-7900,/biz/sen-pad-thai-vancouver?osq=Restaurants
67,Yaletown L’Antipasto,4.0,249,$$,Italian#Mediterranean,"Downtown, Yaletown","1127 Mainland Street#Vancouver, BC V6B 5P2#Canada",(604) 558-1174,/biz/yaletown-l-antipasto-vancouver-3?osq=Restaurants
68,Chef Pin,4.5,13,$$,Chinese,"Killarney, Renfrew-Collingwood","3293 Kingsway#Vancouver, BC V5R 5K4#Canada",(778) 588-1360,/biz/chef-pin-vancouver?osq=Restaurants
69,Saj&amp;Co,4.5,165,$$,Lebanese#Sandwiches,Downtown,"813 Davie Street#Vancouver, BC V6Z 1B7#Canada",(604) 559-2447,/biz/saj-and-co-vancouver?osq=Restaurants
70,Mr Sushi Lonsdale,4.5,20,$$,Japanese#Sushi Bars#Salad,Lower Lonsdale,"105 Lonsdale Avenue#North Vancouver, BC V7M 2E7#Canada",(604) 770-4202,/biz/mr-sushi-lonsdale-north-vancouver-2?osq=Restaurants
71,Masayoshi,4.0,50,$$$$,Sushi Bars#Japanese,"Riley Park, Kensington-Cedar Cottage","4376 Fraser Street#Vancouver, BC V5V 4G3#Canada",(604) 428-6272,/biz/masayoshi-vancouver?osq=Restaurants
72,Le Crocodile Restaurant,4.5,278,$$$$,French,"West End, Downtown","909 Burrard Street#Vancouver, BC V6Z 2N2#Canada",(604) 669-4298,/biz/le-crocodile-restaurant-vancouver?osq=Restaurants
73,Pokérrito,4.0,114,$$,Sushi Bars#Japanese#Hawaiian,Downtown,"558 Dunsmuir Street#Vancouver, BC V6B 1Y1#Canada",(778) 379-1115,/biz/pok%C3%A9rrito-vancouver?osq=Restaurants
74,The Oakwood Canadian Bistro,4.0,363,$$,Gastropubs#Breakfast & Brunch#Canadian (New),Kitsilano,"2741 W 4th Avenue#Vancouver, BC V6K 3V9#Canada",(604) 558-1965,/biz/the-oakwood-canadian-bistro-vancouver?osq=Restaurants
75,H2 Rotisserie &amp; Bar,2.5,6,$$,Gastropubs#Comfort Food#Bars,"Coal Harbour, Downtown","1601 Bayshore Drive#Vancouver, BC V6G 2V4#Canada",(604) 691-6966,/biz/h2-rotisserie-and-bar-vancouver?osq=Restaurants
76,Scoozis,4.0,515,$$,Breakfast & Brunch#Greek#Italian,Downtown,"445 Howe Street#Vancouver, BC V6C 2X4#Canada",(604) 684-1009,/biz/scoozis-vancouver?osq=Restaurants
77,España Restaurant,4.0,161,$$,Spanish,West End,"1118 Denman Street#Vancouver, BC V6G 2M8#Canada",(604) 558-4040,/biz/espa%C3%B1a-restaurant-vancouver-2?osq=Restaurants
78,The Refinery,4.0,145,$$,Wine Bars#Gluten-Free#Tapas/Small Plates,"Downtown, Granville Entertainment District","1115 Granville Street#Vancouver, BC V6Z 1M1#Canada",(604) 687-8001,/biz/the-refinery-vancouver-2?osq=Restaurants
79,Breakfast Table,4.5,48,$$,Breakfast & Brunch,"Fairview Slopes, South Granville","1481 West Broadway#Vancouver, BC V6H 1H6#Canada",(604) 805-1900,/biz/breakfast-table-vancouver?osq=Restaurants
80,My Frosty,4.0,14,$$,Desserts#Shaved Snow#Cafes,Hastings-Sunrise,"2800 E 1st Avenue#Vancouver, BC V5M 4Y2#Canada",(604) 428-2526,/biz/my-frosty-vancouver-2?osq=Restaurants
81,Ancora Waterfront Dining and Patio,4.5,83,$$$$,Seafood#Japanese#Peruvian,Downtown,"1600 Howe Street#Vancouver, BC V6Z 2L9#Canada",(604) 681-1164,/biz/ancora-waterfront-dining-and-patio-vancouver?osq=Restaurants
82,Market Grill,4.0,28,$$,Burgers,Granville Island/False Creek,"1689 Johnston Street#Vancouver, BC V6H 3R9#Canada",(604) 689-1918,/biz/market-grill-vancouver?osq=Restaurants
83,Kishimoto Japanese Kitchen,4.5,308,$$,Japanese#Sushi Bars,"Grandview-Woodlands, The Drive","2054 Commercial Drive#Vancouver, BC V5N 4A9#Canada",(604) 255-5550,/biz/kishimoto-japanese-kitchen-vancouver?osq=Restaurants
84,PiDGiN,4.0,183,$$$,Japanese#Korean#French,Downtown Eastside,"350 Carrall Street#Vancouver, BC V6B 2J3#Canada",(604) 620-9400,/biz/pidgin-vancouver?osq=Restaurants
85,Lift Breakfast Bakery,4.0,9,$$,Breakfast & Brunch#Coffee & Tea#Bakeries,Lower Lonsdale,"101 Lonsdale Avenue#North Vancouver, BC V7M 2E6#Canada",(778) 388-5438,/biz/lift-breakfast-bakery-north-vancouver?osq=Restaurants
86,Hikari Cafe,4.0,38,$$,Japanese#Desserts,"Kerrisdale, Oakridge, Shaughnessy","5701 Granville Street#Vancouver, BC V6M 4J7#Canada",(604) 269-3682,/biz/hikari-cafe-vancouver?osq=Restaurants
87,Burgoo Bistro,4.0,362,$$,Comfort Food#Bistros,Mount Pleasant,"3096 Main Street#Vancouver, BC V5T 3G5#Canada",(604) 873-1441,/biz/burgoo-bistro-vancouver-2?osq=Restaurants
88,The Parlour,4.0,249,$$,Pizza#Gluten-Free#Lounges,"Downtown, Yaletown","1011 Hamilton Street#Vancouver, BC V6B 5T4#Canada",(604) 568-3322,/biz/the-parlour-vancouver?osq=Restaurants
89,Nook,4.0,80,$$,Italian,Kitsilano,"1525 Yew Street#Vancouver, BC V6K 3E4#Canada",(604) 734-0099,/biz/nook-vancouver-2?osq=Restaurants
90,Japadog,4.0,901,$,Hot Dogs#Food Stands,Downtown,"899 Burrard Street#Vancouver, BC V6Z 2K6#Canada",,/biz/japadog-vancouver-4?osq=Restaurants
91,Chongqing,4.0,223,$$,Chinese,West End,"1260 Robson Street#Vancouver, BC V6E 1C1#Canada",(604) 568-0303,/biz/chongqing-vancouver?osq=Restaurants
92,Hawkers Delight Deli,4.0,231,$,Singaporean#Asian Fusion#Fast Food,Riley Park,"4127 Main Street#Vancouver, BC V5V 3P6#Canada",(604) 709-8188,/biz/hawkers-delight-deli-vancouver?osq=Restaurants
93,Ajisai Sushi Bar,4.5,290,$$,Sushi Bars#Japanese,Kerrisdale,"2081 W 42nd Avenue#Vancouver, BC V6M 2B4#Canada",(604) 266-1428,/biz/ajisai-sushi-bar-vancouver?osq=Restaurants
94,Joe Fortes Seafood &amp; Chop House,4.0,669,$$$,Seafood#Steakhouses,West End,"777 Thurlow Street#Vancouver, BC V6E 3V5#Canada",(604) 669-1940,/biz/joe-fortes-seafood-and-chop-house-vancouver?osq=Restaurants
95,Black Frog Eatery,4.0,141,$$,Pubs#American (Traditional),"Downtown, Gastown","108 Cambie Street#Vancouver, BC V6B 2M8#Canada",(604) 602-0527,/biz/black-frog-eatery-vancouver?osq=Restaurants
96,Nook,4.0,230,$$,Italian#Pizza,West End,"781 Denman Street#Vancouver, BC V6G#Canada",(604) 568-4554,/biz/nook-vancouver?osq=Restaurants
97,Ramen Danbo,4.0,151,$$,Ramen#Noodles,West End,"1333 Robson Street#Vancouver, BC V6E 2B1#Canada",(604) 559-8112,/biz/ramen-danbo-vancouver?osq=Restaurants
98,Crowbar Restaurant,4.0,23,$$,Cocktail Bars#Gastropubs,Mount Pleasant,"646 Kingsway#Vancouver, BC V5T 3K4#Canada",(604) 336-2769,/biz/crowbar-restaurant-vancouver?osq=Restaurants
99,Cactus Club Cafe,4.0,276,$$,Canadian (New)#Cafes,Downtown,"588 Burrard Street#Vancouver, BC V7X 1M9#Canada",(604) 682-0933,/biz/cactus-club-cafe-vancouver-5?osq=Restaurants
100,The Union,4.0,164,$$,Asian Fusion#Bars,Strathcona,"219 Union Street#Vancouver, BC V6A 0B4#Canada",(604) 568-3230,/biz/the-union-vancouver?osq=Restaurants
101,Nuba Gastown,4.0,514,$$,Mediterranean#Vegetarian#Lebanese,Downtown,"207 W Hastings Street#Vancouver, BC V6B 1H7#Canada",(604) 688-1655,/biz/nuba-gastown-vancouver?osq=Restaurants
102,Anh and Chi,4.0,162,$$,Vietnamese#Cocktail Bars,Riley Park,"3388 Main Street#Vancouver, BC V5V 3M7#Canada",(604) 874-0832,/biz/anh-and-chi-vancouver?osq=Restaurants
103,Salmon n’ Bannock,4.5,91,$$,Canadian (New),Fairview Slopes,"1128 W Broadway#Vancouver, BC V6H 1G5#Canada",(604) 568-8971,/biz/salmon-n-bannock-vancouver?osq=Restaurants
104,TAKO,4.0,67,$,Korean#Mexican,Downtown,"601 Expo Boulevard#Vancouver, BC V6B 0J5#Canada",(778) 379-7010,/biz/tako-vancouver-2?osq=Restaurants
105,La Taqueria Pinche Taco Shop,4.5,402,$,Mexican#Caterers,Downtown,"322 W Hastings Street#Vancouver, BC V8B 1K6#Canada",(604) 568-4406,/biz/la-taqueria-pinche-taco-shop-vancouver-2?osq=Restaurants
106,Vij’s Rangoli,4.0,324,$$,Indian,"Fairview Slopes, South Granville","1488 W 11th Ave#Vancouver, BC V6H 1L1#Canada",(604) 736-5711,/biz/vijs-rangoli-vancouver?osq=Restaurants
107,Carp,4.5,36,$$,Japanese#Sushi Bars,Mount Pleasant,"2516 Prince Edward Street#Vancouver, BC V5T 4T3#Canada",(604) 708-5542,/biz/carp-vancouver?osq=Restaurants
108,Rouge Bistro,4.5,34,$,American (Traditional),Mount Pleasant,"91 West 2nd Avenue#Vancouver, BC V5Y 1B3#Canada",(778) 654-7328,/biz/rouge-bistro-vancouver-3?osq=Restaurants
109,Westcoast Poke,4.0,82,$$,Live/Raw Food#Hawaiian,Mount Pleasant,"463 W 8th Avenue#Vancouver, BC V5Y 3Z5#Canada",(778) 379-5344,/biz/westcoast-poke-vancouver-6?osq=Restaurants
110,Lupo,4.5,254,$$$,Italian,"Downtown, Yaletown","869 Hamilton Street#Vancouver, BC V6B 2R7#Canada",(604) 569-2535,/biz/lupo-vancouver?osq=Restaurants
111,Suika,4.0,293,$$,Japanese#Tapas/Small Plates#Sushi Bars,Fairview Slopes,"1626 W Broadway#Vancouver, BC V6J 1X6#Canada",(604) 730-1678,/biz/suika-vancouver?osq=Restaurants
112,The Fish Counter,4.5,208,$$,Fish & Chips#Seafood,Riley Park,"3825 Main Street#Vancouver, BC V5V 3P2#Canada",(604) 876-3474,/biz/the-fish-counter-vancouver?osq=Restaurants
113,Grotto,4.0,48,$$,Cocktail Bars#Italian#Pizza,West End,"1725 Davie Street#Vancouver, BC V6G 1W5#Canada",(604) 620-1998,/biz/grotto-vancouver?osq=Restaurants
114,Teahouse,4.0,262,$$$,Seafood,West End,"Ferguson Point#Vancouver, BC V6G 3E2#Canada",(604) 669-3281,/biz/teahouse-vancouver?osq=Restaurants
115,House Special,4.0,63,$$,Vietnamese#Cocktail Bars,"Downtown, Yaletown","1269 Hamilton Street#Vancouver, BC V6B 6K3#Canada",(778) 379-2939,/biz/house-special-vancouver-2?osq=Restaurants
116,The Sandbar Seafood Restaurant,3.5,435,$$$,Seafood#Sushi Bars#Music Venues,Granville Island/False Creek,"1535 Johnston Street#Vancouver, BC V6H 3R9#Canada",(604) 669-9030,/biz/the-sandbar-seafood-restaurant-vancouver-2?osq=Restaurants
117,Fable Diner,3.5,105,$$,Diners,Mount Pleasant,"151 E Broadway#Vancouver, BC V5T 1W1#Canada",(604) 563-3463,/biz/fable-diner-vancouver-2?osq=Restaurants
118,The Stable House Bistro,4.0,56,$$,French#Wine Bars#Breakfast & Brunch,"Fairview Slopes, South Granville","1520 W 13th Avenue#Vancouver, BC V6J 2G4#Canada",(604) 736-1520,/biz/the-stable-house-bistro-vancouver?osq=Restaurants
119,Pronto,4.0,144,$$,Italian#Pizza,"South Cambie, Riley Park","3473 Cambie Street#Vancouver, BC V5Z 2W7#Canada",(604) 722-9331,/biz/pronto-vancouver-2?osq=Restaurants
120,Eat Me Thai,4.5,37,$$,Thai,Sunset,"6364 Fraser Street#Vancouver, BC V5W 0A1#Canada",(604) 558-3832,/biz/eat-me-thai-vancouver?osq=Restaurants
121,Gringo,4.5,107,$,Mexican#Pubs#Tex-Mex,"Downtown, Gastown","27 Blood Alley Square#Vancouver, BC V6B 0C4#Canada",(604) 721-0607,/biz/gringo-vancouver?osq=Restaurants
122,Mission,4.0,39,$$$,Canadian (New)#Vegetarian#Cocktail Bars,Kitsilano,"2042 W 4th Avenue#Vancouver, BC V6J 1M9#Canada",(604) 739-2042,/biz/mission-vancouver-2?osq=Restaurants
123,ShangPin Beef Noodle House,4.0,27,$$,Taiwanese,Riley Park,"4148 Main Street#Vancouver, BC V5V 3A7#Canada",(604) 564-8892,/biz/shangpin-beef-noodle-house-vancouver?osq=Restaurants
124,Long’s Noodle House,4.0,202,$$,Chinese#Noodles,Riley Park,"4853 Main Street#Vancouver, BC V5V 3R9#Canada",(604) 879-7879,/biz/longs-noodle-house-vancouver?osq=Restaurants
125,Super Chef Grill,4.5,37,$,Chinese,Downtown,"280 Robson Street#Vancouver, BC V6B 0E7#Canada",(604) 828-2083,/biz/super-chef-grill-vancouver?osq=Restaurants
126,Guu with Otokomae,4.0,303,$$,Japanese#Tapas Bars,"Downtown, Gastown","375 Water Street#Vancouver, BC V6B 5C6#Canada",(604) 685-8682,/biz/guu-with-otokomae-vancouver?osq=Restaurants
