Id,Name,Rating,Review Count,Price,Style,Neighborhood,Address,Phone Number,Duplicate,,
54,Cactus Club Cafe,4,379,$$,Canadian (New)#Cocktail Bars,"Coal Harbour, Downtown","1085 Canada Place#Vancouver, BC V6C 0C3#Canada",(604) 620-7410,Duplicate,,
93,Cactus Club Cafe,4,379,$$,Canadian (New)#Cocktail Bars,"Coal Harbour, Downtown","1085 Canada Place#Vancouver, BC V6C 0C3#Canada",(604) 620-7410,Duplicate,,
109,Cactus Club Cafe,4,276,$$,Canadian (New)#Cafes,Downtown,"588 Burrard Street#Vancouver, BC V7X 1M9#Canada",(604) 682-0933,Duplicate,,
317,Cactus Club Cafe,3.5,162,$$,Cafes#Canadian (New),West End,"1790 Beach Avenue#Vancouver, BC V6E 1V3#Canada",(604) 681-2582,Duplicate,,
770,Cactus Club Cafe,3.5,85,$$,Canadian (New),"Fairview Slopes, South Granville","1530 W Broadway#Vancouver, BC V6J 5K9#Canada",(604) 733-0434,Duplicate,,
854,Cactus Club Cafe,3.5,81,$$,Canadian (New)#Bars,Fairview Slopes,"575 Broadway W#Vancouver, BC V5Z 1E6#Canada",(604) 714-6000,Duplicate,,
921,Cactus Club Cafe,3.5,81,$$,Canadian (New)#Bars,Fairview Slopes,"575 Broadway W#Vancouver, BC V5Z 1E6#Canada",(604) 714-6000,Duplicate,,
374,Calabash Bistro,4,227,$$,Caribbean,Downtown Eastside,"428 Carrall Street#Vancouver, BC V6B 2J7#Canada",(604) 568-5882,Duplicate,,
387,Calabash Bistro,4,227,$$,Caribbean,Downtown Eastside,"428 Carrall Street#Vancouver, BC V6B 2J7#Canada",(604) 568-5882,Duplicate,,
341,Canra Srilankan Cuisine,4.5,100,$,Sri Lankan,Downtown,"88 W Pender Street#Vancouver, BC V6B 6N9#Canada",(604) 568-3545,Duplicate,,
359,Canra Srilankan Cuisine,4.5,100,$,Sri Lankan,Downtown,"88 W Pender Street#Vancouver, BC V6B 6N9#Canada",(604) 568-3545,Duplicate,,
346,Catch 122,4,305,$$,Breakfast & Brunch#Canadian (New),"Downtown, Downtown Eastside","122 W Hastings Street#Vancouver, BC V6B 1G8#Canada",(604) 731-3474,Duplicate,,
354,Catch 122,4,305,$$,Breakfast & Brunch#Canadian (New),"Downtown, Downtown Eastside","122 W Hastings Street#Vancouver, BC V6B 1G8#Canada",(604) 731-3474,Duplicate,,
540,Chickpea Food Truck,4.5,35,$,Food Trucks#Mediterranean#Vegetarian,Downtown,"884 W Cordova Street#Vancouver, BC V6C#Canada",(778) 385-2382,Duplicate,,
577,Chickpea Food Truck,4.5,35,$,Food Trucks#Mediterranean#Vegetarian,Downtown,"884 W Cordova Street#Vancouver, BC V6C#Canada",(778) 385-2382,Duplicate,,
401,Chili Pepper House,4,93,$$,Chinese#Asian Fusion,Renfrew-Collingwood,"3003 Kingsway#Vancouver, BC V5R 5J6#Canada",(604) 431-8633,Duplicate,,
513,Chili Pepper House,4,93,$$,Chinese#Asian Fusion,Renfrew-Collingwood,"3003 Kingsway#Vancouver, BC V5R 5J6#Canada",(604) 431-8633,Duplicate,,
851,Cora Breakfast and Lunch,3.5,42,$$,Breakfast & Brunch#Canadian (New),West End,"1368 Robson Street#Vancouver, BC V6E 1C5#Canada",(604) 688-2672,Duplicate,,
865,Cora Breakfast and Lunch,3.5,42,$$,Breakfast & Brunch#Canadian (New),West End,"1368 Robson Street#Vancouver, BC V6E 1C5#Canada",(604) 688-2672,Duplicate,,
31,D‰Ûªoro Gelato e CaffÌ¬,4,127,$,Ice Cream & Frozen Yogurt#Cafes,West End,"1222 Robson Street#Vancouver, BC V6E 1C1#Canada",(604) 694-0108,Duplicate,,
303,D‰Ûªoro Gelato e CaffÌ¬,4,127,$,Ice Cream & Frozen Yogurt#Cafes,West End,"1222 Robson Street#Vancouver, BC V6E 1C1#Canada",(604) 694-0108,Duplicate,,
352,Dang Anh Cafe,4.5,14,$,Vietnamese,Kensington-Cedar Cottage,"5186 Victoria Drive#Vancouver, BC V5P 3V3#Canada",(778) 379-7977,Duplicate,,
397,Dang Anh Cafe,4.5,14,$,Vietnamese,Kensington-Cedar Cottage,"5186 Victoria Drive#Vancouver, BC V5P 3V3#Canada",(778) 379-7977,Duplicate,,
315,Deja Brew,4.5,31,$$,Coffee & Tea#Soup#Sandwiches,Fairview Slopes,"943 W Broadway#Vancouver, BC V5Z 4E1#Canada",(604) 558-3113,Duplicate,,
460,Deja Brew,4.5,31,$$,Coffee & Tea#Soup#Sandwiches,Fairview Slopes,"943 W Broadway#Vancouver, BC V5Z 4E1#Canada",(604) 558-3113,Duplicate,,
292,Dixie‰Ûªs BBQ,4,50,$$,Barbeque,Downtown Eastside,"337 E Hastings Street#Vancouver, BC V6A 1P3#Canada",(778) 379-4770,Duplicate,,
380,Dixie‰Ûªs BBQ,4,50,$$,Barbeque,Downtown Eastside,"337 E Hastings Street#Vancouver, BC V6A 1P3#Canada",(778) 379-4770,Duplicate,,
417,Dosa Corner,4,58,$$,Indian,Sunset,"8248 Fraser Street#Vancouver, BC V5X 3X6#Canada",(604) 324-3672,Duplicate,,
506,Dosa Corner,4,58,$$,Indian,Sunset,"8248 Fraser Street#Vancouver, BC V5X 3X6#Canada",(604) 324-3672,Duplicate,,
789,Earls Kitchen + Bar,3.5,96,$$,Canadian (New)#Cocktail Bars,West End,"1185 Robson Street#Vancouver, BC V6E 1B5#Canada",(604) 669-0020,Duplicate,,
904,Earls Kitchen + Bar,3.5,125,$$,Canadian (New)#Cocktail Bars,"Downtown, Yaletown","1095 Mainland Street#Vancouver, BC V6B 5P9#Canada",(604) 688-4990,Duplicate,,
318,East is East,4,322,$$,Middle Eastern#Indian#Vegetarian,Riley Park,"4433 Main Street#Vancouver, BC V5V 3R2#Canada",(604) 565-4401,Duplicate,,
360,East Is East,4,205,$$,Indian#Afghan,Kitsilano,"3243 W Broadway#Vancouver, BC V6K 2H5#Canada",(604) 734-5881,Duplicate,,
882,Evelyn‰Ûªs Coffee Shop,4.5,19,$,Diners#Breakfast & Brunch,Kitsilano,"2176 W Broadway#Vancouver, BC V6K 2C8#Canada",(604) 731-7117,Duplicate,,
925,Evelyn‰Ûªs Coffee Shop,4.5,19,$,Diners#Breakfast & Brunch,Kitsilano,"2176 W Broadway#Vancouver, BC V6K 2C8#Canada",(604) 731-7117,Duplicate,,
871,Fets Whisky Kitchen,3.5,95,$$,Breakfast & Brunch#Burgers#Whiskey Bars,"Grandview-Woodlands, The Drive","1230 Commercial Drive#Vancouver, BC V5L 3X4#Canada",(604) 255-7771,Duplicate,,
995,Fets Whisky Kitchen,3.5,95,$$,Breakfast & Brunch#Burgers#Whiskey Bars,"Grandview-Woodlands, The Drive","1230 Commercial Drive#Vancouver, BC V5L 3X4#Canada",(604) 255-7771,Duplicate,,
890,Fish CafÌ©,3.5,42,$$,Seafood#Fish & Chips#Canadian (New),"Kerrisdale, Shaughnessy","2053 41st Avenue W#Vancouver, BC V6M 1Y7#Canada",(604) 267-3474,Duplicate,,
975,Fish CafÌ©,3.5,42,$$,Seafood#Fish & Chips#Canadian (New),"Kerrisdale, Shaughnessy","2053 41st Avenue W#Vancouver, BC V6M 1Y7#Canada",(604) 267-3474,Duplicate,,
255,Giardino,4,60,$$$,Italian,Downtown,"1328 Hornby Street#Vancouver, BC V6Z 1W5#Canada",(604) 669-2422,Duplicate,,
415,Giardino,4,60,$$$,Italian,Downtown,"1328 Hornby Street#Vancouver, BC V6Z 1W5#Canada",(604) 669-2422,Duplicate,,
358,Gigi Blin,4.5,37,$,Cafes#Coffee & Tea#Bakeries,Marpole,"1400 W 70th Avenue#Vancouver, BC V6P 2Z2#Canada",,Duplicate,,
418,Gigi Blin,4.5,37,$,Cafes#Coffee & Tea#Bakeries,Marpole,"1400 W 70th Avenue#Vancouver, BC V6P 2Z2#Canada",,Duplicate,,
326,Gotham Steakhouse &amp; Bar,4,245,$$$$,Steakhouses#Cocktail Bars#Seafood,Downtown,"615 Seymour Street#Vancouver, BC V6B 3K3#Canada",(604) 605-8282,Duplicate,,
386,Gotham Steakhouse &amp; Bar,4,245,$$$$,Steakhouses#Cocktail Bars#Seafood,Downtown,"615 Seymour Street#Vancouver, BC V6B 3K3#Canada",(604) 605-8282,Duplicate,,
971,Gotham Steakhouse &amp; Bar,4,245,$$$$,Steakhouses#Cocktail Bars#Seafood,Downtown,"615 Seymour Street#Vancouver, BC V6B 3K3#Canada",(604) 605-8282,Duplicate,,
624,Green Lemongrass,4,85,$,Vietnamese,Kensington-Cedar Cottage,"1086 Kingsway#Vancouver, BC V5V 3C6#Canada",(604) 875-6638,Duplicate,,
669,Green Lemongrass,4,85,$,Vietnamese,Kensington-Cedar Cottage,"1086 Kingsway#Vancouver, BC V5V 3C6#Canada",(604) 875-6638,Duplicate,,
808,Green Lettuce Indian Style Chinese Restaurant,4,112,$$,Chinese#Indian,Kensington-Cedar Cottage,"1949 Kingsway#Vancouver, BC V5N 2T1#Canada",(604) 876-9883,Duplicate,,
862,Green Lettuce Indian Style Chinese Restaurant,4,112,$$,Chinese#Indian,Kensington-Cedar Cottage,"1949 Kingsway#Vancouver, BC V5N 2T1#Canada",(604) 876-9883,Duplicate,,
463,Guu Garden,3.5,170,$$,Japanese#Tapas/Small Plates,Downtown,"888 Nelson Street#Vancouver, BC V6Z 2H2#Canada",(604) 899-0855,Duplicate,,
579,Guu Garden,3.5,170,$$,Japanese#Tapas/Small Plates,Downtown,"888 Nelson Street#Vancouver, BC V6Z 2H2#Canada",(604) 899-0855,Duplicate,,
169,Gyu-Kaku Japanese BBQ,4,93,$$,Barbeque#Japanese,Fairview Slopes,"#201-950 W. Broadway#Vancouver, BC V5Z 1K7#Canada",(604) 558-3898,Duplicate,,
222,Gyu-Kaku Japanese BBQ,4,238,$$,Japanese#Barbeque,Downtown,"G3-888 Nelson Street#Vancouver, BC V6Z 2H1#Canada",(604) 558-3885,Duplicate,,
329,Ha Long Bay,4,108,$,Vietnamese#Noodles,Downtown,"430 W Pender Street#Vancouver, BC V6B 1T1#Canada",(604) 568-7976,Duplicate,,
404,Ha Long Bay,4,108,$,Vietnamese#Noodles,Downtown,"430 W Pender Street#Vancouver, BC V6B 1T1#Canada",(604) 568-7976,Duplicate,,
243,Harambe Restaurant,4,83,$$,Ethiopian#African,"Grandview-Woodlands, The Drive","2149 Commercial Drive#Vancouver, BC V5N 4B3#Canada",(604) 216-1060,Duplicate,,
381,Harambe Restaurant,4,83,$$,Ethiopian#African,"Grandview-Woodlands, The Drive","2149 Commercial Drive#Vancouver, BC V5N 4B3#Canada",(604) 216-1060,Duplicate,,
357,Hitoe Sushi Japanese Restaurant,4,133,$$,Japanese#Sushi Bars#Gluten-Free,Kitsilano,"3347 W 4th Avenue#Vancouver, BC V6R 1N6#Canada",(778) 371-4619,Duplicate,,
398,Hitoe Sushi Japanese Restaurant,4,133,$$,Japanese#Sushi Bars#Gluten-Free,Kitsilano,"3347 W 4th Avenue#Vancouver, BC V6R 1N6#Canada",(778) 371-4619,Duplicate,,
45,Hokkaido Ramen Santouka,4,734,$$,Ramen#Noodles,West End,"1690 Robson Street#Vancouver, BC V6G 1C7#Canada",(604) 681-8121,Duplicate,,
61,Hokkaido Ramen Santouka,4,54,$$,Noodles#Ramen#Soup,Fairview Slopes,"558 W Broadway#Vancouver, BC V5Z 1E9#Canada",(604) 565-1770,Duplicate,,
320,Hubbub,4,194,$,Sandwiches#Salad#Soup,Downtown,"859 Hornby Street#Vancouver, BC V6Z 1T9#Canada",(604) 568-3398,Duplicate,,
734,Hubbub,4,42,$,Salad#Soup#Sandwiches,Downtown,"420 Robson Street#Vancouver, BC V6B 0H3#Canada",(604) 801-9995,Duplicate,,
413,Hyoga Japanese Cuisine,4,60,$$,Japanese#Sushi Bars,"Killarney, Renfrew-Collingwood","3343 Kingsway#Vancouver, BC V5R 5K6#Canada",(604) 438-0066,Duplicate,,
535,Hyoga Japanese Cuisine,4,60,$$,Japanese#Sushi Bars,"Killarney, Renfrew-Collingwood","3343 Kingsway#Vancouver, BC V5R 5K6#Canada",(604) 438-0066,Duplicate,,
454,Japadog,4,515,$,Hot Dogs#Food Stands,Downtown,"530 Robson Street#Vancouver, BC V6B 2B7#Canada",(604) 569-1158,Duplicate,,
503,Japadog,4,61,$,Food Stands#Hot Dogs,"Coal Harbour, Downtown","Granville Street and Cordova Street#Vancouver, BC V6C 2R6#Canada",,Duplicate,,
844,Japadog,4,100,$,Food Stands#Hot Dogs,Downtown,"510 Burrard Street#Vancouver, BC V6C#Canada",,Duplicate,,
42,JINYA Ramen Bar,3,42,$$,Ramen,Downtown,"541 Robson Street#Vancouver, BC V6B 2B7#Canada",(604) 699-9377,Duplicate,,
365,JINYA Ramen Bar,3.5,90,$$,Ramen,"Kerrisdale, Arbutus Ridge","2129 West 41st Ave#Vancouver, BC V6M 1Z6#Canada",(778) 379-8889,Duplicate,,
385,JINYA Ramen Bar,3.5,90,$$,Ramen,"Kerrisdale, Arbutus Ridge","2129 West 41st Ave#Vancouver, BC V6M 1Z6#Canada",(778) 379-8889,Duplicate,,
286,Jitlada,4,87,$$,Thai,"Fairview Slopes, South Granville","1459 W Broadway#Vancouver, BC V6H 1H6#Canada",(604) 738-9888,Duplicate,,
394,Jitlada,4,87,$$,Thai,"Fairview Slopes, South Granville","1459 W Broadway#Vancouver, BC V6H 1H6#Canada",(604) 738-9888,Duplicate,,
846,Johnnie Fox‰Ûªs Irish Snug,4,96,$$,Irish#Pubs,"Downtown, Granville Entertainment District","1033 Granville Street#Vancouver, BC V6Z 1L4#Canada",(604) 685-4946,Duplicate,,
863,Johnnie Fox‰Ûªs Irish Snug,4,96,$$,Irish#Pubs,"Downtown, Granville Entertainment District","1033 Granville Street#Vancouver, BC V6Z 1L4#Canada",(604) 685-4946,Duplicate,,
952,Kam Wai Dim Sum,3.5,32,$,Dim Sum,"Chinatown, Downtown Eastside","249 E Pender Street#Vancouver, BC V6A 1T7#Canada",(604) 683-2333,Duplicate,,
972,Kam Wai Dim Sum,3.5,32,$,Dim Sum,"Chinatown, Downtown Eastside","249 E Pender Street#Vancouver, BC V6A 1T7#Canada",(604) 683-2333,Duplicate,,
94,Kinemi‰Ûªs Kitchen,4,55,$$,Pizza#Italian#Asian Fusion,"Killarney, Champlain Heights","7751 Champlain Crescent#Vancouver, BC V5S 4J6#Canada",(604) 434-2868,Duplicate,,
430,Kinemi‰Ûªs Kitchen,4,55,$$,Pizza#Italian#Asian Fusion,"Killarney, Champlain Heights","7751 Champlain Crescent#Vancouver, BC V5S 4J6#Canada",(604) 434-2868,Duplicate,,
411,King‰Ûªs Cafe,4.5,18,$,Wine Bars#Cafes,Kensington-Cedar Cottage,"2223 Kingsway#Vancouver, BC V5N 2T6#Canada",(604) 434-5764,Duplicate,,
423,King‰Ûªs Cafe,4.5,18,$,Wine Bars#Cafes,Kensington-Cedar Cottage,"2223 Kingsway#Vancouver, BC V5N 2T6#Canada",(604) 434-5764,Duplicate,,
265,Kyuzo Japanese Restaurant,3.5,13,$$,Japanese,"Kerrisdale, Shaughnessy","5701 Granville Street#Vancouver, BC V6M 4J7#Canada",(604) 620-9979,Duplicate,,
306,Kyuzo Japanese Restaurant,3.5,13,$$,Japanese,"Kerrisdale, Shaughnessy","5701 Granville Street#Vancouver, BC V6M 4J7#Canada",(604) 620-9979,Duplicate,,
698,Kyuzo Japanese Restaurant,3.5,13,$$,Japanese,"Kerrisdale, Shaughnessy","5701 Granville Street#Vancouver, BC V6M 4J7#Canada",(604) 620-9979,Duplicate,,
225,Kyzock,4,158,$,Sushi Bars#Japanese,Downtown,"559 W Pender Street#Vancouver, BC V6B 1V5#Canada",(604) 605-1625,Duplicate,,
269,Kyzock,4,158,$,Sushi Bars#Japanese,Downtown,"559 W Pender Street#Vancouver, BC V6B 1V5#Canada",(604) 605-1625,Duplicate,,
29,La Catrina Tacos,4.5,51,$,Mexican,West End,"1187 Denman Street#Vancouver, BC V6G 2N1#Canada",(604) 566-9503,Duplicate,,
90,La Catrina Tacos,4.5,51,$,Mexican,West End,"1187 Denman Street#Vancouver, BC V6G 2N1#Canada",(604) 566-9503,Duplicate,,
73,La Mezcaleria,4,172,$$,Mexican,"Grandview-Woodlands, The Drive","1622 Commercial Drive#Vancouver, BC V5L 3Y4#Canada",(604) 559-8226,Duplicate,,
161,La Mezcaleria,4,27,$$,Mexican,"Downtown, Gastown","68 E Cordova Street#Vancouver, BC V6A 4G8#Canada",(604) 559-8226,Duplicate,,
116,La Taqueria Pinche Taco Shop,4.5,401,$,Mexican#Caterers,Downtown,"322 W Hastings Street#Vancouver, BC V8B 1K6#Canada",(604) 568-4406,Duplicate,,
256,La Taqueria Pinche Taco Shop,4.5,473,$,Mexican,Fairview Slopes,"2549 Cambie Street#Vancouver, BC V5Z 3V6#Canada",(604) 558-2549,Duplicate,,
416,L‰Ûªufficio,4.5,3,$$$$,Wine Bars#Italian#Tapas/Small Plates,"Point Grey, Kitsilano","3687 W 4th Avenue#Vancouver, BC V6R 1P2#Canada",(604) 676-1007,Duplicate,,
954,L‰Ûªufficio,4.5,3,$$$$,Wine Bars#Italian#Tapas/Small Plates,"Point Grey, Kitsilano","3687 W 4th Avenue#Vancouver, BC V6R 1P2#Canada",(604) 676-1007,Duplicate,,
873,Las Tortas,3.5,75,$$,Mexican#Sandwiches#Delicatessen,"South Cambie, Riley Park","3353 Cambie Street#Vancouver, BC V5Z 2W6#Canada",(604) 569-1402,Duplicate,,
966,Las Tortas,3.5,75,$$,Mexican#Sandwiches#Delicatessen,"South Cambie, Riley Park","3353 Cambie Street#Vancouver, BC V5Z 2W6#Canada",(604) 569-1402,Duplicate,,
75,Le Crocodile Restaurant,4.5,278,$$$$,French,"West End, Downtown","909 Burrard Street#Vancouver, BC V6Z 2N2#Canada",(604) 669-4298,Duplicate,,
340,Le Crocodile Restaurant,4.5,278,$$$$,French,"West End, Downtown","909 Burrard Street#Vancouver, BC V6Z 2N2#Canada",(604) 669-4298,Duplicate,,
444,Lin Chinese Cuisine And Tea House,3.5,175,$$,Chinese,"Fairview Slopes, South Granville","1537 W Broadway#Vancouver, BC V6J 1W6#Canada",(604) 733-9696,Duplicate,,
544,Lin Chinese Cuisine And Tea House,3.5,175,$$,Chinese,"Fairview Slopes, South Granville","1537 W Broadway#Vancouver, BC V6J 1W6#Canada",(604) 733-9696,Duplicate,,
209,Maenam,3.5,225,$$,Thai,Kitsilano,"1938 W 4th Avenue#Vancouver, BC V6J 1M5#Canada",(604) 730-5579,Duplicate,,
264,Maenam,3.5,225,$$,Thai,Kitsilano,"1938 W 4th Avenue#Vancouver, BC V6J 1M5#Canada",(604) 730-5579,Duplicate,,
302,Maenam,3.5,225,$$,Thai,Kitsilano,"1938 W 4th Avenue#Vancouver, BC V6J 1M5#Canada",(604) 730-5579,Duplicate,,
785,Main Kabob Hut,4,38,$$,Indian#Pakistani#Mediterranean,"Sunset, Punjabi Market","219 E 49th Avenue#Vancouver, BC V5W 2G4#Canada",(604) 322-8715,Duplicate,,
964,Main Kabob Hut,4,38,$$,Indian#Pakistani#Mediterranean,"Sunset, Punjabi Market","219 E 49th Avenue#Vancouver, BC V5W 2G4#Canada",(604) 322-8715,Duplicate,,
228,Mamie Taylor‰Ûªs,4,73,$$,American (Traditional),"Chinatown, Strathcona","251 E Georgia Street#Vancouver, BC V6A 1Z6#Canada",(604) 620-8818,Duplicate,,
262,Mamie Taylor‰Ûªs,4,73,$$,American (Traditional),"Chinatown, Strathcona","251 E Georgia Street#Vancouver, BC V6A 1Z6#Canada",(604) 620-8818,Duplicate,,
97,Mandarin Hong Kong Cafe,3.5,15,$$,Asian Fusion,South Cambie,"948 W King Edward Avenue#Vancouver, BC V5Z 2E2#Canada",(604) 620-0518,Duplicate,,
253,Mandarin Hong Kong Cafe,3.5,15,$$,Asian Fusion,South Cambie,"948 W King Edward Avenue#Vancouver, BC V5Z 2E2#Canada",(604) 620-0518,Duplicate,,
350,Maxim‰Ûªs Restaurant,4,16,$$,Chinese#Asian Fusion,Chinatown,"257 Keefer St#Vancouver, BC V6A 1X6#Canada",(604) 687-0949,Duplicate,,
402,Maxim‰Ûªs Restaurant,4,16,$$,Chinese#Asian Fusion,Chinatown,"257 Keefer St#Vancouver, BC V6A 1X6#Canada",(604) 687-0949,Duplicate,,
171,Meat &amp; Bread,4,614,$$,Sandwiches,Downtown,"370 Cambie Street#Vancouver, BC V6B 1H7#Canada",(604) 566-9003,Duplicate,,
173,Meat &amp; Bread,4,142,$,Sandwiches,"Coal Harbour, Downtown","1033 W Pender Street#Vancouver, BC V6E 2M6#Canada",,Duplicate,,
468,Mitra Canteen,4,53,$,Mediterranean#Halal,Mount Pleasant,"3034 Main St#Vancouver, BC V5T 3G5#Canada",(604) 874-9820,Duplicate,,
567,Mitra Canteen,4,53,$,Mediterranean#Halal,Mount Pleasant,"3034 Main St#Vancouver, BC V5T 3G5#Canada",(604) 874-9820,Duplicate,,
471,Mr Shawarma,4,36,$,Middle Eastern#Food Trucks,Downtown,"655 Burrard Street#Vancouver, BC V6C 2R7#Canada",(604) 569-1644,Duplicate,,
697,Mr Shawarma,4.5,53,$,Lebanese#Food Trucks,Downtown,"Robson and Hornby#Vancouver, BC V6Z#Canada",(604) 569-1644,Duplicate,,
658,Nando‰Ûªs Chicken,3.5,114,$$,Barbeque#Portuguese#South African,Downtown,"828 Davie Street#Vancouver, BC V6Z 2S2#Canada",(604) 678-1217,Duplicate,,
663,Nando‰Ûªs Chicken,3.5,114,$$,Barbeque#Portuguese#South African,Downtown,"828 Davie Street#Vancouver, BC V6Z 2S2#Canada",(604) 678-1217,Duplicate,,
