Id,Name,Rating,Review Count,Price,Style,Neighborhood,Address,Phone Number
29,Hawksworth Restaurant,4.0,406,$$$$,Canadian (New),Downtown,"801 W Georgia Street#Vancouver, BC V6C 1P7#Canada",(604) 673-7000
30,Shizen Ya,4.0,413,$$,Japanese#Sushi Bars#Bars,Downtown,"965 Hornby Street#Vancouver, BC V6Z 1V3#Canada",(604) 568-0013
31,La Belle Patate,4.0,386,$,Fast Food#Poutineries,West End,"1215 Davie Street#Vancouver, BC V6E 1N4#Canada",(604) 569-1215
32,L’Abattoir,4.0,392,$$$,French#Canadian (New),"Downtown, Gastown","217 Carrall Street#Vancouver, BC V6B 2J1#Canada",(604) 568-1701
33,Forage,4.0,393,$$,Canadian (New)#Breakfast & Brunch,West End,"1300 Robson Street#Vancouver, BC V6E 1C5#Canada",(604) 661-1400
34,Burgoo Bistro,4.0,362,$$,Comfort Food#Bistros,Mount Pleasant,"3096 Main Street#Vancouver, BC V5T 3G5#Canada",(604) 873-1441
35,Go Fish Ocean Emporium,4.0,340,$$,Seafood#Fish & Chips,Granville Island/False Creek,"1505 W 1st Avenue#Vancouver, BC V6J 1E8#Canada",(604) 730-5040
36,Edible Canada At the Market,3.5,345,$$,Canadian (New)#Specialty Food#Grocery,Granville Island/False Creek,"1596 Johnston Street#Vancouver, BC V6H 3R9#Canada",(604) 682-6681
37,Motomachi Shokudo,4.0,312,$$,Ramen#Noodles,West End,"740 Denman Street#Vancouver, BC V6G 2L5#Canada",(604) 609-0310
38,Cactus Club Cafe,4.0,379,$$,Canadian (New)#Cocktail Bars,"Coal Harbour, Downtown","1085 Canada Place#Vancouver, BC V6C 0C3#Canada",(604) 620-7410
39,Marutama Ramen,4.0,340,$$,Ramen#Noodles,West End,"780 Bidwell Street#Vancouver, BC V6G 2J6#Canada",(604) 688-8837
