Id,Name,Rating,Review Count,Price,Style,Neighborhood,Address,Phone Number
14,AnnaLena,4.5,142,$$$,Canadian (New)#Diners#Bars,Kitsilano,"1809 W 1st Avenue#Vancouver, BC V6J 5B8#Canada",(778) 379-4052
15,Forage,4.0,393,$$,Canadian (New)#Breakfast & Brunch,West End,"1300 Robson Street#Vancouver, BC V6E 1C5#Canada",(604) 661-1400
16,Phnom Penh,4.0,688,$$,Cambodian#Vietnamese,Strathcona,"244 E Georgia Street#Vancouver, BC V6A 1Z7#Canada",(604) 682-5777
17,Yuzu Shokutei,4.5,35,$$,Ramen#Vegetarian#Tapas/Small Plates,West End,"854 Denman Street#Vancouver, BC V6G 2L8#Canada",(604) 229-6816
18,The Flying Pig,4.0,529,$$,Canadian (New)#Seafood,"Downtown, Gastown","102 Water Street#Vancouver, BC V6B 2K8#Canada",(604) 559-7968
19,Kingyo,4.5,516,$$,Japanese#Tapas/Small Plates,West End,"871 Denman Street#Vancouver, BC V6G 2L9#Canada",(604) 608-1677
20,Number e food,4.5,77,$$,Sandwiches#Pizza#Delis,Downtown,"1308 Burrard Street#Vancouver, BC V6Z 2B7#Canada",(604) 559-6863
21,Nomad,4.0,106,$$,Canadian (New)#Comfort Food#Cocktail Bars,Riley Park,"3950 Main Street#Vancouver, BC V5V 3P2#Canada",(604) 708-8525
22,Paramount Fine Foods,4.5,13,$$,Lebanese#Falafel#Pizza,Downtown,"560 Robson Street#Vancouver, BC V6B 2B7#Canada",(604) 699-9323
23,JOEY Burrard,4.0,290,$$,Canadian (New)#Lounges,Downtown,"820 Burrard Street#Vancouver, BC V6Z 1X9#Canada",(604) 683-5639
24,Pourhouse Restaurant,4.0,416,$$,Lounges#Canadian (New)#Cocktail Bars,"Downtown, Gastown","162 Water Street#Vancouver, BC V6B 1B2#Canada",(604) 568-7022
25,Brix &amp; Mortar,4.0,167,$$$,Wine Bars#Canadian (New)#Tapas Bars,"Downtown, Yaletown","1138 Homer Street#Vancouver, BC V6B 2X6#Canada",(604) 915-9463
26,The Poke Guy,4.5,87,$$,Hawaiian#Seafood,Downtown,"420 Richards Street#Vancouver, BC V6B 2Z4#Canada",(778) 379-8455
27,Botanist,4.0,20,$$$,Canadian (New)#Diners#Breakfast & Brunch,"Coal Harbour, Downtown","1038 Canada Place#Vancouver, BC V6C 0B9#Canada",(604) 695-5500
28,The Mackenzie Room,4.5,72,$$$,Canadian (New),Downtown Eastside,"415 Powell Street#Vancouver, BC V6A 1G7#Canada",(604) 253-0705
29,La Catrina Tacos,4.5,51,$,Mexican,West End,"1187 Denman Street#Vancouver, BC V6G 2N1#Canada",(604) 566-9503
30,Six Acres,4.0,207,$$,Pubs#Canadian (New)#Cafes,"Downtown, Gastown","203 Carrall Street#Vancouver, BC V6B 2J2#Canada",(604) 488-0110
31,D’oro Gelato e Caffè,4.0,127,$,Ice Cream & Frozen Yogurt#Cafes,West End,"1222 Robson Street#Vancouver, BC V6E 1C1#Canada",(604) 694-0108
32,Kazoku Sapporo Eatery,4.0,11,$,Japanese#Desserts#Comfort Food,Downtown,"2011-88 West Pender Street#Vancouver, BC V6B 6N8#Canada",(604) 428-8362
33,Saj&amp;Co,4.5,165,$$,Lebanese#Sandwiches,Downtown,"813 Davie Street#Vancouver, BC V6Z 1B7#Canada",(604) 559-2447
34,Bao Down,3.5,256,$$,Asian Fusion#Sandwiches#Seafood,"Downtown, Gastown","12 Powell Street#Vancouver, BC V6A 1E7#Canada",(778) 379-3611
35,Guu with Garlic,4.5,679,$$,Japanese#Tapas Bars,West End,"1698 Robson Street#Vancouver, BC V6G 1C7#Canada",(604) 685-8678
36,Lupo,4.5,254,$$$,Italian,"Downtown, Yaletown","869 Hamilton Street#Vancouver, BC V6B 2R7#Canada",(604) 569-2535
37,Kurumucho Japanese Taco Shop,4.0,10,$$,Tex-Mex#Japanese#Asian Fusion,Downtown,"985 Hornby Street#Vancouver, BC V6Z 3G5#Canada",(604) 428-3239
38,Yogi Korean Snack Bar,4.5,54,$,Korean#Fast Food#Vegetarian,West End,"1706 Robson Street#Vancouver, BC V6G 2J7#Canada",(604) 681-4174
39,Grub,4.0,132,$$,Italian#Canadian (New),Riley Park,"4328 Main Street#Vancouver, BC V5V 3P9#Canada",(604) 876-8671
40,Raviolino,4.5,53,$,Italian#Sandwiches,Kitsilano,"2822 W 4th Avenue#Vancouver, BC V6K 1R2#Canada",(604) 736-0772
41,Ask For Luigi,4.0,273,$$,Italian,Downtown Eastside,"305 Alexander Street#Vancouver, BC V6A 1C4#Canada",(604) 428-2544
42,JINYA Ramen Bar,3.0,42,$$,Ramen,Downtown,"541 Robson Street#Vancouver, BC V6B 2B7#Canada",(604) 699-9377
43,Plaisir Sucré,4.5,49,$,Bakeries#Desserts#French,Kitsilano,"2668 Arbutus Street#Vancouver, BC V6J 5L8#Canada",(604) 736-0515
44,Dinesty Dumpling House,4.0,320,$$,Chinese,West End,"1719 Robson Street#Vancouver, BC V6G 1C8#Canada",(604) 669-7769
45,Hokkaido Ramen Santouka,4.0,734,$$,Ramen#Noodles,West End,"1690 Robson Street#Vancouver, BC V6G 1C7#Canada",(604) 681-8121
46,Kuma Izakaya,4.0,31,$$,Sushi Bars#Japanese#Asian Fusion,"Downtown, Yaletown","1233 Hamilton Street#Vancouver, BC V6B 6K3#Canada",(778) 379-1177
47,Fayuca,4.5,11,$$,Mexican,"Downtown, Yaletown","1009 Hamilton Street#Vancouver, BC V6B 5T4#Canada",(604) 689-8523
48,Guu Original Thurlow,4.0,624,$$,Japanese#Tapas Bars,"West End, Downtown","838 Thurlow Street#Vancouver, BC V6E 1W2#Canada",(604) 685-8817
49,Edible Canada At the Market,3.5,345,$$,Canadian (New)#Specialty Food#Grocery,Granville Island/False Creek,"1596 Johnston Street#Vancouver, BC V6H 3R9#Canada",(604) 682-6681
50,Bao Bei Chinese Brasserie,4.0,256,$$$,Chinese,Chinatown,"163 Keefer Street#Vancouver, BC V6A 1X3#Canada",(604) 688-0876
51,Zefferelli’s,4.0,262,$$,Italian,West End,"1136 Robson Street#Vancouver, BC V6E 1B2#Canada",(604) 687-0655
52,Guoyan Cuisine Group,5.0,8,$$,Chinese,West End,"792 Denman Street#Vancouver, BC V6G 1C9#Canada",(604) 692-0148
53,Pacific Poke,4.5,52,$$,Japanese#Hawaiian,"Chinatown, Strathcona","625 Main Street#Vancouver, BC V6A 2V4#Canada",(604) 559-5304
54,Cactus Club Cafe,4.0,379,$$,Canadian (New)#Cocktail Bars,"Coal Harbour, Downtown","1085 Canada Place#Vancouver, BC V6C 0C3#Canada",(604) 620-7410
55,So Hyang Korean Cuisine,4.5,74,$$,Korean,Sunset,"6345 Fraser Street#Vancouver, BC V5W 3A3#Canada",(604) 729-0702
56,The Chili House,5.0,19,$,Chinese,Kitsilano,"2445 Burrard Street#Vancouver, BC V6J 3J3#Canada",(604) 564-8858
57,Assembli,3.5,10,$$,Pizza#Salad,Fairview Slopes,"2325 Cambie Street#Vancouver, BC V5Z 2T9#Canada",(604) 873-1253
58,Ritual,4.0,66,$$,Comfort Food,West End,"774 Denman Street#Vancouver, BC V6G 1C9#Canada",(604) 428-7722
59,Fritz European Fry House,4.0,502,$,Fast Food#Poutineries#Modern European,"Downtown, Granville Entertainment District","718 Davie Street#Vancouver, BC V6Z 1B6#Canada",(604) 684-0811
60,L’Abattoir,4.0,392,$$$,French#Canadian (New),"Downtown, Gastown","217 Carrall Street#Vancouver, BC V6B 2J1#Canada",(604) 568-1701
61,Hokkaido Ramen Santouka,4.0,54,$$,Noodles#Ramen#Soup,Fairview Slopes,"558 W Broadway#Vancouver, BC V5Z 1E9#Canada",(604) 565-1770
62,Yook Korean Grilled BBQ &amp; Bistro,3.5,10,$$,Korean#Barbeque,"Hastings-Sunrise, Grandview-Woodlands","2408 Nanaimo Street#Vancouver, BC V5N 5E4#Canada",(604) 428-9292
63,Jam Cafe on Beatty,4.5,336,$$,Breakfast & Brunch,Downtown,"556 Beatty Street#Vancouver, BC V6B 2L3#Canada",(778) 379-1992
64,The Bottleneck,4.0,54,$$,Pubs#Canadian (New),"Downtown, Granville Entertainment District","870 Granville Street#Vancouver, BC V6B 2C9#Canada",(604) 739-4540
65,Mogu - Japanese Street Eats,4.5,57,$,Japanese#Food Trucks#Burgers,Downtown,"610 Howe Street#Vancouver, BC V6Z 1N9#Canada",(604) 375-4822
66,Black Rice Izakaya,4.0,113,$$,Japanese#Sushi Bars#Tapas Bars,Downtown,"782 Cambie Street#Vancouver, BC V6B 2R5#Canada",(778) 379-0416
67,Railtown Cafe,3.5,10,$$,Breakfast & Brunch#Sandwiches#Tex-Mex,"Mount Pleasant, Strathcona","1691 Main Street#Vancouver, BC V6A 2W5#Canada",(604) 336-2251
68,Kissa Tanto,4.0,86,$$$,Japanese#Italian,"Chinatown, Downtown Eastside","263 E Pender Street#Vancouver, BC V6A 1T8#Canada",(778) 379-8078
69,The Locus,4.0,178,$$,Lounges#Canadian (New),Riley Park,"4121 Main Street#Vancouver, BC V5V 3P6#Canada",(604) 708-4121
70,Yaletown L’Antipasto,4.0,249,$$,Italian#Mediterranean,"Downtown, Yaletown","1127 Mainland Street#Vancouver, BC V6B 5P2#Canada",(604) 558-1174
71,Westcoast Poke,4.0,82,$$,Live/Raw Food#Hawaiian,Mount Pleasant,"463 W 8th Avenue#Vancouver, BC V5Y 3Z5#Canada",(778) 379-5344
72,Sen Pad Thai,4.5,10,$$,Thai#Noodles,Granville Island/False Creek,"1666 Johnston Street#Vancouver, BC V6H 3R5#Canada",(604) 428-7900
73,La Mezcaleria,4.0,172,$$,Mexican,"Grandview-Woodlands, The Drive","1622 Commercial Drive#Vancouver, BC V5L 3Y4#Canada",(604) 559-8226
74,Salt Tasting Room,4.0,421,$$,Wine Bars#Tapas/Small Plates,"Downtown, Gastown","45 Blood Alley Square#Vancouver, BC V6B 1A4#Canada",(604) 633-1912
75,Le Crocodile Restaurant,4.5,278,$$$$,French,"West End, Downtown","909 Burrard Street#Vancouver, BC V6Z 2N2#Canada",(604) 669-4298
76,Jamjar - Folk Lebanese Food,4.0,135,$$,Lebanese#Vegan,"Grandview-Woodlands, The Drive","2280 Commercial Drive#Vancouver, BC V5N 4B6#Canada",(604) 252-3957
77,Mr Sushi Lonsdale,4.5,20,$$,Japanese#Sushi Bars#Salad,Lower Lonsdale,"105 Lonsdale Avenue#North Vancouver, BC V7M 2E7#Canada",(604) 770-4202
78,Au Comptoir,4.0,95,$$,French,Kitsilano,"2278 W 4th Avenue#Vancouver, BC V6K 1N8#Canada",(604) 569-2278
79,Go Fish Ocean Emporium,4.0,340,$$,Seafood#Fish & Chips,Granville Island/False Creek,"1505 W 1st Avenue#Vancouver, BC V6J 1E8#Canada",(604) 730-5040
80,Pokérrito,4.0,114,$$,Sushi Bars#Japanese#Hawaiian,Downtown,"558 Dunsmuir Street#Vancouver, BC V6B 1Y1#Canada",(778) 379-1115
81,The Oakwood Canadian Bistro,4.0,363,$$,Gastropubs#Breakfast & Brunch#Canadian (New),Kitsilano,"2741 W 4th Avenue#Vancouver, BC V6K 3V9#Canada",(604) 558-1965
82,H2 Rotisserie &amp; Bar,3.0,7,$$,Gastropubs#Comfort Food#Bars,"Coal Harbour, Downtown","1601 Bayshore Drive#Vancouver, BC V6G 2V4#Canada",(604) 691-6966
83,Scoozis,4.0,515,$$,Breakfast & Brunch#Greek#Italian,Downtown,"445 Howe Street#Vancouver, BC V6C 2X4#Canada",(604) 684-1009
84,España Restaurant,4.0,161,$$,Spanish,West End,"1118 Denman Street#Vancouver, BC V6G 2M8#Canada",(604) 558-4040
85,The Refinery,4.0,145,$$,Wine Bars#Gluten-Free#Tapas/Small Plates,"Downtown, Granville Entertainment District","1115 Granville Street#Vancouver, BC V6Z 1M1#Canada",(604) 687-8001
86,Breakfast Table,4.5,48,$$,Breakfast & Brunch,"Fairview Slopes, South Granville","1481 West Broadway#Vancouver, BC V6H 1H6#Canada",(604) 805-1900
87,My Frosty,4.0,14,$$,Desserts#Shaved Snow#Cafes,Hastings-Sunrise,"2800 E 1st Avenue#Vancouver, BC V5M 4Y2#Canada",(604) 428-2526
88,Ancora Waterfront Dining and Patio,4.5,83,$$$$,Seafood#Japanese#Peruvian,Downtown,"1600 Howe Street#Vancouver, BC V6Z 2L9#Canada",(604) 681-1164
89,Market Grill,4.0,28,$$,Burgers,Granville Island/False Creek,"1689 Johnston Street#Vancouver, BC V6H 3R9#Canada",(604) 689-1918
90,La Catrina Tacos,4.5,51,$,Mexican,West End,"1187 Denman Street#Vancouver, BC V6G 2N1#Canada",(604) 566-9503
91,Pacific Poke,4.5,52,$$,Japanese#Hawaiian,"Chinatown, Strathcona","625 Main Street#Vancouver, BC V6A 2V4#Canada",(604) 559-5304
92,Lift Breakfast Bakery,4.0,9,$$,Breakfast & Brunch#Coffee & Tea#Bakeries,Lower Lonsdale,"101 Lonsdale Avenue#North Vancouver, BC V7M 2E6#Canada",(778) 388-5438
93,Cactus Club Cafe,4.0,379,$$,Canadian (New)#Cocktail Bars,"Coal Harbour, Downtown","1085 Canada Place#Vancouver, BC V6C 0C3#Canada",(604) 620-7410
94,Kinemi’s Kitchen,4.0,55,$$,Pizza#Italian#Asian Fusion,"Killarney, Champlain Heights","7751 Champlain Crescent#Vancouver, BC V5S 4J6#Canada",(604) 434-2868
95,Black Rice Izakaya,4.0,113,$$,Japanese#Sushi Bars#Tapas Bars,Downtown,"782 Cambie Street#Vancouver, BC V6B 2R5#Canada",(778) 379-0416
96,Ancora Waterfront Dining and Patio,4.5,83,$$$$,Seafood#Japanese#Peruvian,Downtown,"1600 Howe Street#Vancouver, BC V6Z 2L9#Canada",(604) 681-1164
97,Mandarin Hong Kong Cafe,3.5,15,$$,Asian Fusion,South Cambie,"948 W King Edward Avenue#Vancouver, BC V5Z 2E2#Canada",(604) 620-0518
98,The Oakwood Canadian Bistro,4.0,363,$$,Gastropubs#Breakfast & Brunch#Canadian (New),Kitsilano,"2741 W 4th Avenue#Vancouver, BC V6K 3V9#Canada",(604) 558-1965
99,The Second Floor Bistro,5.0,3,Null,French,Renfrew-Collingwood,"2665 Renfrew Street#Vancouver, BC V5M 0A7#Canada",(604) 639-2055
100,Chongqing,4.0,223,$$,Chinese,West End,"1260 Robson Street#Vancouver, BC V6E 1C1#Canada",(604) 568-0303
101,Chi Modern Vietnamese Kitchen,4.0,52,$$,Vietnamese#Asian Fusion,Kitsilano,"1935 W 4th Avenue#Vancouver, BC V6J 1M7#Canada",(604) 336-3010
102,Hawkers Delight Deli,4.0,231,$,Singaporean#Asian Fusion#Fast Food,Riley Park,"4127 Main Street#Vancouver, BC V5V 3P6#Canada",(604) 709-8188
103,Ajisai Sushi Bar,4.5,290,$$,Sushi Bars#Japanese,Kerrisdale,"2081 W 42nd Avenue#Vancouver, BC V6M 2B4#Canada",(604) 266-1428
104,Joe Fortes Seafood &amp; Chop House,4.0,669,$$$,Seafood#Steakhouses,West End,"777 Thurlow Street#Vancouver, BC V6E 3V5#Canada",(604) 669-1940
105,Black Frog Eatery,4.0,141,$$,Pubs#American (Traditional),"Downtown, Gastown","108 Cambie Street#Vancouver, BC V6B 2M8#Canada",(604) 602-0527
106,Nook,4.0,230,$$,Italian#Pizza,West End,"781 Denman Street#Vancouver, BC V6G#Canada",(604) 568-4554
107,Ramen Danbo,4.0,151,$$,Ramen#Noodles,West End,"1333 Robson Street#Vancouver, BC V6E 2B1#Canada",(604) 559-8112
108,Crowbar Restaurant,4.0,23,$$,Cocktail Bars#Gastropubs,Mount Pleasant,"646 Kingsway#Vancouver, BC V5T 3K4#Canada",(604) 336-2769
109,Cactus Club Cafe,4.0,276,$$,Canadian (New)#Cafes,Downtown,"588 Burrard Street#Vancouver, BC V7X 1M9#Canada",(604) 682-0933
110,Stock Market,4.0,57,$,Soup,Granville Island/False Creek,"1689 Johnston Street#Vancouver, BC V6H 3R9#Canada",(604) 687-2433
111,The Union,4.0,164,$$,Asian Fusion#Bars,Strathcona,"219 Union Street#Vancouver, BC V6A 0B4#Canada",(604) 568-3230
112,Nuba Gastown,4.0,514,$$,Mediterranean#Vegetarian#Lebanese,Downtown,"207 W Hastings Street#Vancouver, BC V6B 1H7#Canada",(604) 688-1655
113,Anh and Chi,4.0,162,$$,Vietnamese#Cocktail Bars,Riley Park,"3388 Main Street#Vancouver, BC V5V 3M7#Canada",(604) 874-0832
114,Salmon n’ Bannock,4.5,91,$$,Canadian (New),Fairview Slopes,"1128 W Broadway#Vancouver, BC V6H 1G5#Canada",(604) 568-8971
115,TAKO,4.0,67,$,Korean#Mexican,Downtown,"601 Expo Boulevard#Vancouver, BC V6B 0J5#Canada",(778) 379-7010
116,La Taqueria Pinche Taco Shop,4.5,401,$,Mexican#Caterers,Downtown,"322 W Hastings Street#Vancouver, BC V8B 1K6#Canada",(604) 568-4406
117,Vij’s Rangoli,4.0,323,$$,Indian,"Fairview Slopes, South Granville","1488 W 11th Ave#Vancouver, BC V6H 1L1#Canada",(604) 736-5711
118,Carp,4.5,36,$$,Japanese#Sushi Bars,Mount Pleasant,"2516 Prince Edward Street#Vancouver, BC V5T 4T3#Canada",(604) 708-5542
119,Rouge Bistro,4.5,34,$,American (Traditional),Mount Pleasant,"91 West 2nd Avenue#Vancouver, BC V5Y 1B3#Canada",(778) 654-7328
120,Amay’s House,4.0,94,$,Burmese#Malaysian#Thai,Kensington-Cedar Cottage,"5076 Victoria Drive#Vancouver, BC V5P 3V1#Canada",(604) 327-2629
121,Sushi Itoga,4.5,255,$$,Sushi Bars#Japanese,West End,"1668 Robson Street#Vancouver, BC V6G 1C7#Canada",(604) 687-2422
122,Gain Wah Restaurant,4.0,66,$,Chinese,"Chinatown, Strathcona","218 Keefer Street#Vancouver, BC V6A 1X5#Canada",(778) 734-2667
123,Peaceful Restaurant,4.0,436,$$,Chinese#Noodles,Fairview Slopes,"110-532 W Broadway#Vancouver, BC V5Z 1E9#Canada",(604) 879-9878
124,Hawksworth Restaurant,4.0,406,$$$$,Canadian (New),Downtown,"801 W Georgia Street#Vancouver, BC V6C 1P7#Canada",(604) 673-7000
125,MeeT in Gastown,4.0,158,$$,Vegetarian#Comfort Food#Vegan,"Downtown, Gastown","12 Water Street#Vancouver, BC V6B 1A5#Canada",(604) 696-1111
126,Linh Café - French Cooking,4.0,121,$$,Vietnamese#French,Kitsilano,"2836 W 4th Avenue#Vancouver, BC V6K 1R2#Canada",(604) 559-4668
127,Banana Leaf,4.0,206,$$,Malaysian#Singaporean,West End,"1096 Denman St#Vancouver, BC V6G 2M8#Canada",(604) 683-3333
128,Rajio Japanese Public House,4.0,76,$$,Japanese,Point Grey,"3763 W 10th Avenue#Vancouver, BC V6R 2G5#Canada",(604) 558-1679
129,Heritage Asian Eatery,4.0,46,$$,Breakfast & Brunch#Asian Fusion,"Coal Harbour, Downtown","1108 W Pender Street#Vancouver, BC V6E 4J6#Canada",(778) 737-1108
130,Grotto,4.0,48,$$,Cocktail Bars#Italian#Pizza,West End,"1725 Davie Street#Vancouver, BC V6G 1W5#Canada",(604) 620-1998
131,The Fish Counter,4.5,207,$$,Fish & Chips#Seafood,Riley Park,"3825 Main Street#Vancouver, BC V5V 3P2#Canada",(604) 876-3474
132,Teahouse,4.0,262,$$$,Seafood,West End,"Ferguson Point#Vancouver, BC V6G 3E2#Canada",(604) 669-3281
133,House Special,4.0,63,$$,Vietnamese#Cocktail Bars,"Downtown, Yaletown","1269 Hamilton Street#Vancouver, BC V6B 6K3#Canada",(778) 379-2939
134,Fable Diner,3.5,105,$$,Diners,Mount Pleasant,"151 E Broadway#Vancouver, BC V5T 1W1#Canada",(604) 563-3463
135,The Sandbar Seafood Restaurant,3.5,435,$$$,Seafood#Sushi Bars#Music Venues,Granville Island/False Creek,"1535 Johnston Street#Vancouver, BC V6H 3R9#Canada",(604) 669-9030
136,The Stable House Bistro,4.0,56,$$,French#Wine Bars#Breakfast & Brunch,"Fairview Slopes, South Granville","1520 W 13th Avenue#Vancouver, BC V6J 2G4#Canada",(604) 736-1520
137,Pronto,4.0,144,$$,Italian#Pizza,"South Cambie, Riley Park","3473 Cambie Street#Vancouver, BC V5Z 2W7#Canada",(604) 722-9331
138,Eat Me Thai,4.5,36,$$,Thai,Sunset,"6364 Fraser Street#Vancouver, BC V5W 0A1#Canada",(604) 558-3832
139,Gringo,4.5,107,$,Mexican#Pubs#Tex-Mex,"Downtown, Gastown","27 Blood Alley Square#Vancouver, BC V6B 0C4#Canada",(604) 721-0607
140,Suika,4.0,293,$$,Japanese#Tapas/Small Plates#Sushi Bars,Fairview Slopes,"1626 W Broadway#Vancouver, BC V6J 1X6#Canada",(604) 730-1678
141,Mission,4.0,39,$$$,Canadian (New)#Vegetarian#Cocktail Bars,Kitsilano,"2042 W 4th Avenue#Vancouver, BC V6J 1M9#Canada",(604) 739-2042
142,ShangPin Beef Noodle House,4.0,27,$$,Taiwanese,Riley Park,"4148 Main Street#Vancouver, BC V5V 3A7#Canada",(604) 564-8892
143,Long’s Noodle House,4.0,202,$$,Chinese#Noodles,Riley Park,"4853 Main Street#Vancouver, BC V5V 3R9#Canada",(604) 879-7879
144,Super Chef Grill,4.5,37,$,Chinese,Downtown,"280 Robson Street#Vancouver, BC V6B 0E7#Canada",(604) 828-2083
145,Guu with Otokomae,4.0,303,$$,Japanese#Tapas Bars,"Downtown, Gastown","375 Water Street#Vancouver, BC V6B 5C6#Canada",(604) 685-8682
146,Yuji’s From Japan,4.5,28,$$,Sushi Bars#Japanese#Tapas/Small Plates,Point Grey,"2083 Alma Street#Vancouver, BC V6R 4N6#Canada",(604) 428-4688
147,Kessel&amp;March,4.5,44,$$,Modern European,Grandview-Woodlands,"1701 Powell Street#Vancouver, BC V5L 5C9#Canada",(604) 874-1196
148,Burgoo Bistro,4.0,145,$$,Comfort Food#Bistros,Kitsilano,"2272 W 4th Avenue#Vancouver, BC V6K 1P2#Canada",(604) 734-3478
149,Bestie,4.0,164,$$,German#Specialty Food,Chinatown,"105 E Pender Street#Vancouver, BC V6A 1T5#Canada",(604) 620-1175
150,Nabebugyo,4.0,31,$$,Japanese#Hot Pot#Noodles,"Fairview Slopes, South Cambie, Riley Park","3190 Cambie Street#Vancouver, BC V5Z 2W2#Canada",(604) 710-5039
151,Caffè Mangia,5.0,11,$$,Pizza#Sandwiches#Italian,Mount Pleasant,"2211 Manitoba Street#Vancouver, BC V5Y 3A3#Canada",(778) 379-4000
152,Pholicious,4.5,57,$,Vietnamese#Noodles,Downtown,"550 W Hastings#Vancouver, BC V6B 1L6#Canada",(778) 379-3322
153,Krung Thep Thai Cuisine,4.0,48,$$,Thai,"Downtown, Granville Entertainment District","809 Seymour Street#Vancouver, BC V6B 3L4#Canada",(778) 379-6488
154,La Brasserie,4.0,193,$$,French#German,West End,"1091 Davie Street#Vancouver, BC V6E 1M5#Canada",(778) 379-5400
155,ARC Restaurant,4.0,58,$$$,Canadian (New)#Cocktail Bars,Downtown,"900 Canada Place Way#Vancouver, BC V6C 3L5#Canada",(604) 691-1818
156,Mr. Red Cafe,4.0,40,$$,Vietnamese,Kitsilano,"2680 W Broadway#Vancouver, BC V6K 2G3#Canada",(604) 559-6878
157,Ramen Danbo,4.0,135,$$,Ramen#Noodles,Kitsilano,"1833 W 4th Avenue#Vancouver, BC V6J 1M4#Canada",(778) 379-8977
158,Cafe Mai-Mai,4.5,69,$,Vietnamese#Coffee & Tea#Noodles,Marpole,"8636 Granville Street#Vancouver, BC V6P 5A1#Canada",(604) 428-4191
159,Caveman Cafe,4.5,69,$,Organic Stores#Salad#Cafes,Downtown,"88 W Pender Street#Vancouver, BC V6B 6N8#Canada",(604) 780-6650
160,Sofra Mediterranean Kitchen,4.0,51,$$,Mediterranean,"Kerrisdale, Arbutus Ridge","2277 W 41st Avenue#Vancouver, BC V6M 2A3#Canada",(604) 558-3287
161,La Mezcaleria,4.0,27,$$,Mexican,"Downtown, Gastown","68 E Cordova Street#Vancouver, BC V6A 4G8#Canada",(604) 559-8226
162,Les Faux Bourgeois,4.0,305,$$,French#Cafes,Mount Pleasant,"663 E 15th Avenue#Vancouver, BC V5T 2R6#Canada",(604) 873-9733
163,Tacofino Yaletown,4.0,48,$$,Mexican,"Downtown, Yaletown","1025 Mainland Street#Vancouver, BC V6B 5P9#Canada",(778) 379-8226
164,Birds &amp; the Beets,4.0,73,$$,Breakfast & Brunch,"Downtown, Gastown","55 Powell Street#Vancouver, BC V6A#Canada",(604) 893-7832
165,Jules French Bistro,4.0,136,$$,French,"Downtown, Gastown","216 Abbott Street#Vancouver, BC V6B 2K8#Canada",(604) 669-0033
166,Kin Kao Thai Kitchen,4.0,81,$$,Thai,"Grandview-Woodlands, The Drive","903 Commercial Drive#Vancouver, BC V5L#Canada",(604) 558-1125
167,Jackalope’s Neighbourhood Dive,4.5,72,$$,Dive Bars#Breakfast & Brunch#Soul Food,Grandview-Woodlands,"2257 E Hastings Street#Vancouver, BC V5L 1V3#Canada",(604) 568-6674
168,Meet on Main,4.0,247,$$,Comfort Food#Vegetarian#Gluten-Free,Riley Park,"4288 Main Street#Vancouver, BC V5V 3P9#Canada",(604) 696-1010
169,Gyu-Kaku Japanese BBQ,4.0,93,$$,Barbeque#Japanese,Fairview Slopes,"#201-950 W. Broadway#Vancouver, BC V5Z 1K7#Canada",(604) 558-3898
